a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t
78,202004,24,完成組立　　　　　　　　　　　,,,20200401,4217,㈱不二テクノス,1002101160,02000-84010,FGE-E25QND-13,40,PRC-RCT,購買入庫,F24-3220106,60,1819.39,109164,
78,202004,24,完成組立　　　　　　　　　　　,,,20200401,4217,㈱不二テクノス,1002101160,02000-84010,FGE-E25QND-13,40,PRC-RCT,購買入庫,F24-3310108,64,1819.39,116441,
78,202004,24,完成組立　　　　　　　　　　　,,,20200401,4217,㈱不二テクノス,1002101160,02000-91913,FGE-E15QNDN-1,40,PRC-RCT,購買入庫,F24-3310112,180,1879.02,338224,
78,202004,24,完成組立　　　　　　　　　　　,,,20200401,4217,㈱不二テクノス,1002101160,02000-91915,FGE-E25QND-14,40,PRC-RCT,購買入庫,F24-3220122,71,1890.5,134226,
78,202004,24,完成組立　　　　　　　　　　　,,,20200401,4217,㈱不二テクノス,1002001140,02000R77602,FFE-E10QTP-3R,40,PRC-RCT,購買入庫,F24-3310121,79,1671.76,132070,
78,202004,24,完成組立　　　　　　　　　　　,,,20200401,4217,㈱不二テクノス,1002201180,02100-12302,FWE-E10NSM-1,40,PRC-RCT,購買入庫,F24-3220156,100,2083.9,208390,
78,202004,24,完成組立　　　　　　　　　　　,,,20200401,4217,㈱不二テクノス,2004402980,06000-22603,RCS-P020DBND-1,40,PRC-RCT,購買入庫,F24-3220311,180,1562.34,281222,
78,202004,24,完成組立　　　　　　　　　　　,,,20200401,4217,㈱不二テクノス,2002702640,06000-40907,ACS-BPMD-9,40,PRC-RCT,購買入庫,F24-3290221,1173,429.03,503253,
78,202004,24,完成組立　　　　　　　　　　　,,,20200401,4217,㈱不二テクノス,2002702640,06000-40908,ACS-BPMD-10,40,PRC-RCT,購買入庫,F24-3290222,1291,512.58,661741,
78,202004,24,完成組立　　　　　　　　　　　,,,20200401,4217,㈱不二テクノス,2004402980,06000-41002,RAS-QPKND-19,40,PRC-RCT,購買入庫,F24-3220334,540,1398.7,755298,
78,202004,24,完成組立　　　　　　　　　　　,,,20200401,4217,㈱不二テクノス,2004502990,06000-46604,APS-BME-6,40,PRC-RCT,購買入庫,F24-4010019,200,328.65,65730,
78,202004,24,完成組立　　　　　　　　　　　,,,20200401,4217,㈱不二テクノス,2004502990,06000-46604,APS-BME-6,40,PRC-RCT,購買入庫,F24-3290228,2000,335.65,671300,
78,202004,24,完成組立　　　　　　　　　　　,,,20200401,4217,㈱不二テクノス,2001201000,06000-50402,AUS-QY2-200,40,PRC-RCT,購買入庫,F24-3220360,200,1722.5,344500,
78,202004,24,完成組立　　　　　　　　　　　,,,20200401,4217,㈱不二テクノス,2001201000,06000-50402,AUS-QY2-200,40,PRC-RCT,購買入庫,F24-3290233,99,1722.5,170528,
78,202004,24,完成組立　　　　　　　　　　　,,,20200401,4217,㈱不二テクノス,2006101000,06000-52502,VBS-QPLADG-2,40,PRC-RCT,購買入庫,F24-3220371,700,1349.83,944881,
78,202004,24,完成組立　　　　　　　　　　　,,,20200401,4217,㈱不二テクノス,2006101000,06000-52502,VBS-QPLADG-2,40,PRC-RCT,購買入庫,F24-3220371,700,1349.83,944881,
78,202004,24,完成組立　　　　　　　　　　　,,,20200401,4217,㈱不二テクノス,2006301000,06000-58901,RFS-QPKSM-1,40,PRC-RCT,購買入庫,F24-3220384,240,2003.59,480862,
78,202004,24,完成組立　　　　　　　　　　　,,,20200401,4217,㈱不二テクノス,2006701000,06000-62002,RCS-B020DAND-7,40,PRC-RCT,購買入庫,F24-3310233,416,1565.25,651144,
78,202004,24,完成組立　　　　　　　　　　　,,,20200401,4217,㈱不二テクノス,2001902540,06000R37606,AMS-B24BHD-1R,40,PRC-RCT,購買入庫,F24-3290251,690,397.04,273958,
78,202004,24,完成組立　　　　　　　　　　　,,,20200401,4217,㈱不二テクノス,5601004870,51000-09903,PLD-12100DM-4,40,PRC-RCT,購買入庫,F24-3290393,300,1328.57,398571,
